global_step=28, episodic_return=[29.]
global_step=38, episodic_return=[10.]
global_step=49, episodic_return=[11.]
global_step=85, episodic_return=[36.]
global_step=98, episodic_return=[13.]
global_step=114, episodic_return=[16.]
global_step=131, episodic_return=[17.]
global_step=150, episodic_return=[19.]
global_step=187, episodic_return=[37.]
global_step=214, episodic_return=[27.]
global_step=229, episodic_return=[15.]
global_step=242, episodic_return=[13.]
global_step=265, episodic_return=[23.]
global_step=275, episodic_return=[10.]
global_step=304, episodic_return=[29.]
global_step=322, episodic_return=[18.]
global_step=333, episodic_return=[11.]
global_step=344, episodic_return=[11.]
global_step=390, episodic_return=[46.]
global_step=401, episodic_return=[11.]
global_step=433, episodic_return=[32.]
global_step=480, episodic_return=[47.]
global_step=496, episodic_return=[16.]
global_step=522, episodic_return=[26.]
global_step=556, episodic_return=[34.]
global_step=572, episodic_return=[16.]
global_step=591, episodic_return=[19.]
global_step=613, episodic_return=[22.]
global_step=637, episodic_return=[24.]
global_step=652, episodic_return=[15.]
global_step=663, episodic_return=[11.]
global_step=680, episodic_return=[17.]
global_step=693, episodic_return=[13.]
global_step=723, episodic_return=[30.]
global_step=739, episodic_return=[16.]
global_step=805, episodic_return=[66.]
global_step=836, episodic_return=[31.]
global_step=855, episodic_return=[19.]
global_step=880, episodic_return=[25.]
global_step=899, episodic_return=[19.]
global_step=909, episodic_return=[10.]
global_step=952, episodic_return=[43.]
global_step=973, episodic_return=[21.]
global_step=1005, episodic_return=[32.]
global_step=1016, episodic_return=[11.]
global_step=1064, episodic_return=[48.]
global_step=1088, episodic_return=[24.]
global_step=1100, episodic_return=[12.]
global_step=1113, episodic_return=[13.]
global_step=1125, episodic_return=[12.]
global_step=1148, episodic_return=[23.]
global_step=1166, episodic_return=[18.]
global_step=1177, episodic_return=[11.]
global_step=1189, episodic_return=[12.]
global_step=1211, episodic_return=[22.]
global_step=1222, episodic_return=[11.]
global_step=1235, episodic_return=[13.]
global_step=1253, episodic_return=[18.]
global_step=1284, episodic_return=[31.]
global_step=1310, episodic_return=[26.]
global_step=1335, episodic_return=[25.]
global_step=1354, episodic_return=[19.]
global_step=1373, episodic_return=[19.]
global_step=1391, episodic_return=[18.]
global_step=1414, episodic_return=[23.]
global_step=1442, episodic_return=[28.]
global_step=1456, episodic_return=[14.]
global_step=1498, episodic_return=[42.]
global_step=1531, episodic_return=[33.]
global_step=1550, episodic_return=[19.]
global_step=1565, episodic_return=[15.]
global_step=1577, episodic_return=[12.]
global_step=1593, episodic_return=[16.]
global_step=1615, episodic_return=[22.]
global_step=1646, episodic_return=[31.]
global_step=1668, episodic_return=[22.]
global_step=1686, episodic_return=[18.]
global_step=1698, episodic_return=[12.]
global_step=1726, episodic_return=[28.]
global_step=1738, episodic_return=[12.]
global_step=1755, episodic_return=[17.]
global_step=1773, episodic_return=[18.]
global_step=1786, episodic_return=[13.]
global_step=1797, episodic_return=[11.]
global_step=1819, episodic_return=[22.]
global_step=1828, episodic_return=[9.]
global_step=1863, episodic_return=[35.]
global_step=1873, episodic_return=[10.]
global_step=1903, episodic_return=[30.]
global_step=1913, episodic_return=[10.]
global_step=1926, episodic_return=[13.]
global_step=1946, episodic_return=[20.]
global_step=1966, episodic_return=[20.]
global_step=1978, episodic_return=[12.]
global_step=2001, episodic_return=[23.]
global_step=2020, episodic_return=[19.]
global_step=2037, episodic_return=[17.]
global_step=2051, episodic_return=[14.]
global_step=2072, episodic_return=[21.]
global_step=2091, episodic_return=[19.]
global_step=2110, episodic_return=[19.]
global_step=2135, episodic_return=[25.]
global_step=2155, episodic_return=[20.]
global_step=2189, episodic_return=[34.]
global_step=2234, episodic_return=[45.]
global_step=2273, episodic_return=[39.]
global_step=2293, episodic_return=[20.]
global_step=2310, episodic_return=[17.]
global_step=2322, episodic_return=[12.]
global_step=2335, episodic_return=[13.]
global_step=2367, episodic_return=[32.]
global_step=2401, episodic_return=[34.]
global_step=2442, episodic_return=[41.]
global_step=2453, episodic_return=[11.]
global_step=2468, episodic_return=[15.]
global_step=2479, episodic_return=[11.]
global_step=2502, episodic_return=[23.]
global_step=2519, episodic_return=[17.]
global_step=2544, episodic_return=[25.]
global_step=2559, episodic_return=[15.]
global_step=2570, episodic_return=[11.]
global_step=2645, episodic_return=[75.]
global_step=2675, episodic_return=[30.]
global_step=2687, episodic_return=[12.]
global_step=2709, episodic_return=[22.]
global_step=2720, episodic_return=[11.]
global_step=2734, episodic_return=[14.]
